userID,itemID,rating,timestamp,service_name,service_sector,service_keyword
,1018,,,জাতীয় গ্রন্থাগারের সদস্য পাঠক ও গবেষক সেবা নবায়ন কার্ড,16,জাতীয় গ্রন্থাগারের  সদস্য গবেষক সেবা নবায়ন কার্ড
,102,,,পত্রিকার প্রত্যয়নপত্রের আবেদন,6,"Application , newspaper , certificate , পত্রিকার , প্রত্যয়নপত্রের , আবেদন , potrikar , prottoyonpotrer , abedon"
,1020,,,একুশে পদকের জন্য প্রস্তাবিত ব্যক্তি সম্পর্কিত তথ্য ছক,32,"একুশে পদক, একুশে পদক প্রদান সংক্রান্ত আবেদন, পদক , Information table about the person proposed for Ekushey Padak"
,1023,,,মাধ্যমিক বিদ্যালয়ে সাংস্কৃতিক চর্চা কার্যক্রম,13,"Cultural practice activities in secondary schools , মাধ্যমিক বিদ্যালয়ে সাংস্কৃতিক চর্চা কার্যক্রম"
,1026,,,বেসরকারি গ্রন্থাগারের অনুকূলে অনুদান প্রদান,4,"Provide grants in favor of private libraries , বেসরকারি গ্রন্থাগারের অনুকূলে অনুদান প্রদান"
,1027,,,সাংস্কৃতিক প্রতিষ্ঠানের অনুকূলে অনুদান প্রদান,4,"সাংস্কৃতিক প্রতিষ্ঠানের অনুকূলে অনুদান প্রদান , Providing grants in favor of cultural institutions"
,1029,,,অসচ্ছল সংস্কৃতিসেবীদের কে মাসিক কল্যাণ ভাতা প্রদান,4,"অসচ্ছল সংস্কৃতিসেবীদের কে মাসিক কল্যাণ ভাতা প্রদান , Providing monthly welfare allowance to indigent culture workers"
,103,,,Application for setting up a printing press,4,Application for setting up a printing press
,1030,,,সংস্কৃতি বিষয়ক মন্ত্রণালয়ের সংস্থা সমূহের জন্য অর্থ ছাড়,37,"সংস্কৃতি বিষয়ক মন্ত্রণালয়ের সংস্থা সমূহের জন্য অর্থ ছাড় , Discounts for agencies of the Ministry of Culture"
,1032,,,একুশে পদকের জন্য প্রস্তাবিত প্রতিষ্ঠান সম্পর্কিত তথ্য ছক,32,"Information , table , about , the , proposed , institution , Ekushey , Padak , একুশে , পদকের , প্রস্তাবিত , প্রতিষ্ঠান , সম্পর্কিত , তথ্য , ছক , ekushe , podoker , jonno , prostabito , protisthan , somporkito , tottho , chok"
,1034,,,বিনা টিকিটে বাংলাদেশ জাতীয় জাদুঘর পরিদর্শনের জন্য আবেদন,16,"শিক্ষা কর্মসূচী (ছাত্র-ছাত্রী/ প্রতিষ্ঠান/ সংগঠন) , Education Program (Student/ Institute/ Organization)"
,1036,,,"শিক্ষা, গবেষণা ও প্রকাশনার জন্য নিদর্শনের তথ্য, আলোকচিত্র ও ভিডিওচিত্র প্রদান",16,"Provide object information and photographs , নিদর্শনের তথ্য ও আলোকচিত্র প্রদান"
,1038,,,গ্রন্থাগার সেবা প্রদান (বাংলাদেশ জাতীয় জাদুঘর),36,"Providing library services , গ্রন্থাগার সেবা প্রদান"
,1039,,,পরামর্শ/মতামত/অভিযোগ প্রদান,32,"Provide suggestions / opinions / complaints , পরামর্শ/মতামত/অভিযোগ প্রদান"
,104,,,প্রয়াত বীর মুক্তিযোদ্ধার দাফন খরচ প্রদান,4,"প্রয়াত বীর মুক্তিযোদ্ধার দাফন খরচ প্রদান, প্রয়াত, বীর, মুক্তিযোদ্ধার, দাফন, খরচ, প্রদান, Payment of burial expenses of late freedom fighters, Payment, burial, expenses, late, freedom, fighters"
,1042,,,মিলনায়তন বরাদ্দ (বাংলাদেশ জাতীয় জাদুঘর),36,"Auditorium allocation , মিলনায়তন বরাদ্দ"
,1045,,,গ্যালারিতে নিদর্শন প্রতিস্থাপন/নতুন নিদর্শন উপস্থাপন/নিদর্শন স্থানান্তর (বাংলাদেশ জাতীয় জাদুঘর),36,"গ্যালারিতে নিদর্শন প্রতিস্থাপন/নতুন নিদর্শন উপস্থাপন/নিদর্শন স্থানান্তর , Pattern Replacement / Presenting New Pattern / Pattern Transfer in Gallery"
,1048,,,বিশেষ চাহিদা সম্পন্ন নাগরিকদের সেবা প্রদান,32,"বিশেষ চাহিদা সম্পন্ন নাগরিকদের সেবা প্রদান , বিশেষ চাহিদা সম্পন্ন নাগরিকদের সেবা প্রদান"
,1049,,,জাদুঘরের কল্যান তহবিল থেকে আর্থিক সহায়তা/আপদকালীন সাহায্যের আবেদন,4,"Application for financial assistance / emergency assistance from the museum's welfare fund , জাদুঘরের কল্যান তহবিল থেকে আর্থিক সহায়তা/আপদকালীন সাহায্যের আবেদন"
,105,,,কারাগারে আটক ব্যক্তির স্বাক্ষর গ্রহণ,1,"ওকালতনামায় স্বাক্ষর, জমি বিক্রয়ের অনুমতি, চেক বিল স্বাক্ষর,কারাগারে আটক ব্যক্তির স্বাক্ষর গ্রহণ"
,1050,,,বাংলাদেশ জাতীয় জাদুঘরের কর্মকর্তা-কর্মচারীর সন্তানদের বৃত্তি প্রাপ্তির আবেদন,4,"বাংলাদেশ জাতীয় জাদুঘরের কর্মকর্তা-কর্মচারীর সন্তানদের বৃত্তি প্রাপ্তির আবেদন , Application for scholarship for children of officers and employees of Bangladesh National Museum"
,1051,,,"ভবন সংস্কার সেবা প্রদান (বাংলাদেশ জাতীয় জাদুঘর,ঢাকা)",36,"ভবন সংস্কার সেবা প্রদান ,  Providing building renovation services"
,1053,,,নিদর্শন সংরক্ষণ সেবা (অভ্যন্তরীন),19,"নিদর্শন সংরক্ষণ সেবা (অভ্যন্তরীন) , Object Treatment Service (Internal)"
,1056,,,নিদর্শন বিক্রয় / উপহার প্রদানের প্রস্তাবপত্র (বাংলাদেশ জাতীয় জাদুঘর),36,"নিদর্শন বিক্রয় / উপহার প্রদানের প্রস্তাবপত্র , Letter of offer for sale / gift of object"
,1059,,,চাকুরী স্থায়ীকরণ (বাংলাদেশ জাতীয় জাদুঘর),19,"চাকুরী স্থায়ীকরণ (বাংলাদেশ জাতীয় জাদুঘর) , Job security (Bangladesh National Museum)"
,106,,,আমমোক্তারনামা বৈধকরণ,1,"আমমোক্তারনামা, বৈধকরণ, Validation, Ammoktarnama"
,1060,,,চাকরি হতে অব্যাহতি (বাংলাদেশ জাতীয় জাদুঘর),19,"চাকরি হতে অব্যাহতি (বাংলাদেশ জাতীয় জাদুঘর) , Dismissal (Bangladesh National Museum)"
,1063,,,গাইড সেবা প্রাপ্তির আবেদন,32,"গাইড সেবা প্রাপ্তির আবেদন , Application to Provide Guide Services"
,1064,,,মেলা/প্রদর্শনীতে লোক ও কারুশিল্পীদের অংশগ্রহণের আবেদন,36,"মেলা/প্রদর্শনীতে লোক ও কারুশিল্পীদের অংশগ্রহণের আবেদন , Application for participation of artisans in folk fair/exhibition"
,1067,,,লোকজ সাংস্কৃতিক অনুষ্ঠানে অংশগ্রহণের আবেদন,36,"Application for Participating in Folk Cultural Program , লোকজ সাংস্কৃতিক অনুষ্ঠানে অংশগ্রহণের আবেদন"
,1068,,,কারুশিল্পী প্রশিক্ষণ কর্মসূচিতে অংশগ্রহণের আবেদন,13,"কারুশিল্পী প্রশিক্ষণ কর্মসূচিতে অংশগ্রহণের আবেদন , Application to participate in craftsman training program"
,107,,,প্রতিষ্ঠানের জন্য আগ্নেয়াস্ত্র লাইসেন্স প্রদান,2,আগ্নেয়াস্ত্রের লাইসেন্স
,1070,,,স্যুটিং (চিত্রগ্রহণ) এর জন্য আবেদন,27,"Application for shooting , স্যুটিং (চিত্রগ্রহণ) এর জন্য আবেদন"
,1071,,,মাসব্যাপী লোককারুশিল্প মেলার স্টল গ্রহণের আবেদন,28,"মাসব্যাপী লোককারুশিল্প মেলার স্টল গ্রহণের আবেদন , Application for Stall Booking of Month-long Folk Fair & Festival"
,1073,,,কপিরাইট অফিস হতে রেজিস্ট্রারের হেফাজতে থাকা কোনো সরকারি দলিলের সত্যায়িত কপি প্রদান,"2,3,6","কপিরাইট অফিস হতে রেজিস্ট্রারের হেফাজতে থাকা কোনো সরকারি দলিলের সত্যায়িত কপি প্রদান , Any government in the custody of the Registrar from the Copyright Office will provide an attested copy of the document"
,1074,,,কপিরাইট লঙ্ঘনকারী কপিসমূহের অনুপ্রবেশ রোধ,"2,3,6","কপিরাইট লঙ্ঘনকারী কপিসমূহের অনুপ্রবেশ রোধ , Prevent infiltration of copyright infringing copies"
,1077,,,সুচি/ ইনডেকসার হতে উদ্ধৃতি গ্রহণ,"2,3,6","সুচি/ ইনডেকসার হতে উদ্ধৃতি গ্রহণ , Receive quotes from index / indexer"
,1079,,,"সংগীত, আবৃত্তি ও নৃত্য প্রশিক্ষণ কোর্সে ভর্তির আবেদন ",27,"সংগীত আবৃত্তি ও নৃত্য প্রশিক্ষণ কোর্সে ভর্তির আবেদন , Application for admission in music recitation and dance training courses"
,108,,,চান্দিনা ভিটির লিজ নবায়ন,1,"চান্দিনা, ভিটি, লিজ, নবায়ন, Renewal, lease, Chandina, Vt"
,1082,,,বাংলাদেশ শিল্পকলা একাডেমির মিলনায়তন/ মাঠ/ নন্দনমঞ্চ/প্লাজা /গ্যালারী/মহড়া কক্ষ/ সেমিনার কক্ষ  বরাদ্দ,3,"মিলনায়তন, শিল্পকলা একাডেমি, মহড়াকক্ষ, Auditorium, shilpakala"
,1083,,,কবি নজরুল ইনস্টিটিউট মিলনায়তন ভাড়ার জন্য আবেদন,36,"Application , rent , Poet , Nazrul , Institute , Auditorium , কবি , নজরুল , ইনস্টিটিউট , মিলনায়তন , ভাড়ার , আবেদন , kobi , njorul , institiut , milonayoton , varar , jonno , abedon"
,1086,,,যাত্রাদল নিবন্ধন,45,"যাত্রাদল, নিবন্ধন, নবায়ন, Jatradol Registration, Renewal"
,1089,,,শ্রান্তি ও বিনোদন ছুটি (সংস্কৃতি বিষয়ক মন্ত্রণালয়),19,"শ্রান্তি, বিনোদন, ছুটি, Holiday, leisure, recreation, শ্রান্তি ও বিনোদন ছুটি"
,109,,,আর্থিক প্রতিষ্ঠানের জন্য আগ্নেয়াস্ত্র লাইসেন্স প্রদান,45,"আর্থিক, প্রতিষ্ঠানের, আগ্নেয়াস্ত্র, লাইসেন্স, প্রদান, Issuance, firearms, license, financial, institutions."
,1090,,,যৌথ অনুষ্ঠান আয়োজন/আয়োজনে সহযোগিতা,36,"যৌথ, অনুষ্ঠান, আয়োজন, Organizing, Joint, Events"
,1093,,,শিল্পী তালিকাভুক্তিকরণ,36,"শিল্পী, তালিকাভুক্তিকরণ, Artist, Enlistment"
,1096,,,বাংলাদেশ শিল্পকলা একাডেমির প্রশিক্ষণ কোর্সে ভর্তি,36,"প্রশিক্ষণ কোর্সে. ভর্তি. Admission, Training Course, বাংলাদেশ শিল্পকলা একাডেমি, Bangladesh Shilpakala Academy"
,1098,,,প্রদর্শনী পরিদর্শন টিকিট/আবেদন,36,"প্রদর্শনী, পরিদর্শন, টিকিট, Exhibition, Inspection, Tickets"
,11,,,সাধারণ আবেদন,1,"সাধারণ আবেদন, আবেদন, সমাজকল্যাণ মন্ত্রণালয় General Application"
,110,,,অর্পিত সম্পত্তি (ভিপি) লিজ নবায়নের আবেদন,1,"ভিপি লিজ নবায়ন, অর্পিত সম্পত্তি, VP, Vested Property"
,1100,,,বিদেশি শিল্পী/ দলের অলাভজনক অনুষ্ঠানের প্রত্যয়ন পত্র,3,"বিদেশি শিল্পী দল, অলাভজনক অনুষ্ঠান, প্রত্যয়ন পত্র, Certificate, Non-Profit Program, Foreign Artist Group"
,1102,,,চাকরি হতে অব্যাহতি  (কবি নজরুল ইনস্টিটিউটের জন্য ),19,"চাকরি হতে অব্যাহতি  (কবি নজরুল ইনস্টিটিউটের জন্য ) , Dismissal (for Kabi Nazrul Institute)"
,1105,,,জেলা শিল্পকলা একাডেমির বিষয়ভিত্তিক প্রশিক্ষণকোর্সে ভর্তি,36,"জেলা শিল্পকলা একাডেমি, প্রশিক্ষণকোর্স, ভর্তি, Admission, Training Course, District Shilpakala Academy"
,1106,,,জেলা শিল্পকলা একাডেমির মিলনায়তন বরাদ্দ,36,"Allocation , auditorium , District , Shilpakala , Academy , জেলা , শিল্পকলা , একাডেমির , মিলনায়তন , বরাদ্দ , jela , shilpokola , ekademir , milonayoton , boraddo"
,1107,,,বাংলাদেশ শিল্পকলা একাডেমির পদক আবেদন,3,বাংলাদেশ শিল্পকলা একাডেমির পদক আবেদন Medal application of Bangladesh Shilpakala Academy
,1108,,,কবি নজরুল ইনস্টিটিউট থেকে প্রবন্ধ বা গ্রন্থ প্রকাশের জন্য আবেদন,40,"প্রবন্ধ প্রকাশ  কবি নজরুল ইনস্টিটিউট পত্রিকা  কবি নজরুল ইনস্টিটিউট প্রবন্ধ / গ্রন্থ প্রকাশের জন্য আবেদন , Publication of essays Poet Nazrul Institute Magazine Poet Nazrul Institute Application for publication of essays / books"
,111,,,আগ্নেয়াস্ত্র (পিস্তল/শর্টগান/বন্দুক) লাইসেন্স প্রদান,2,"আগ্নেয়াস্ত্র (পিস্তল/শর্ট গান/বন্দুক) লাইসেন্স প্রদান,আগ্নেয়াস্ত্রের লাইসেন্স, গান লাইসেন্স, বন্দুক, পিস্তল, শটগান, Gun"
,1111,,,জেলা শিল্পকলা একাডেমির সম্মাননা আবেদন,4,"জেলা শিল্পকলা একাডেমি, সম্মাননা, আবেদন, Honorary, Application, District Shilpakala Academy, পদক"
,1114,,,বেসরকারি গ্রন্থাগার তালিকাভুক্তিকরণ আবেদন ফরম,"2,3,6","বেসরকারি গ্রন্থাগার তালিকাভুক্তিকরণ ফরম , Private Library Enrollment Form"
,1117,,,মিলনায়তন ভাড়া সংক্রান্ত আবেদন ফরম,"3,11,27,28","মিলনায়তন ভাড়া সংক্রান্ত আবেদন ফরম , Auditorium rental application form"
,1119,,,বিভাগীয়/জেলা/উপজেলা বইমেলায় অংশগ্রহণের আবেদন ফরম,"3,11,27,28","বিভাগীয়/জেলা/উপজেলা বইমেলায় অংশগ্রহণের আবেদন ফরম , Application form for participation in Divisional / District / Upazila Book Fair"
,112,,,মাননীয় প্রধানমন্ত্রীর তহবিল থেকে চিকিৎসার জন্য আর্থিক সহায়তা প্রাপ্তি,4,"চিকিৎসা, আর্থিক সহায়তা, সাহায্য, Treatment, Financial assistance , Receiving financial assistance for treatment from the funds of the Hon'ble Prime Minister"
,1120,,,ভবিষ্য তহবিল হতে ঋণ উত্তোলন সংক্রান্ত আবেদন ফরম,19,"ভবিষ্যত তহবিল হতে ঋণ উত্তোলন সংক্রান্ত আবেদন ফরম , Application form for loan from future fund"
,1123,,,গৃহ নির্মাণ/ফ্ল্যাট ক্রয় ঋণ সংক্রান্ত আবেদন ফরম,19,"গৃহ নির্মাণ/ফ্ল্যাট ক্রয় ঋণ সংক্রান্ত আবেদন ফরম , Home Construction / Flat Purchase / Home Repair Loan Application Form"
,1126,,,তথ্য প্রাপ্তির আবেদনপত্র,19,"তথ্য প্রাপ্তির আবেদনপত্র , Application for Information"
,1127,,,গাড়ী রিকুইজিশন ফরম(সংস্কৃতি বিষয়ক মন্ত্রণালয়),19,"গাড়ী রিকুজিশন ফরম, গাড়ী রিকুজিশন, গাড়ী, রিকুজিশন"
,1129,,,নিবন্ধিত যাত্রাদলের নবায়ন,36,"Renewal , registered , procession , নিবন্ধিত , যাত্রাদলের , নবায়ন , nibondhito , zatradoler , nbayon"
,113,,,মৌজা ম্যাপ প্রাপ্তি,1,"মৌজা ম্যাপ, Map , Receipt of mouza map"
,1131,,,যোগদানপত্র (বাংলাদেশ শিল্পকলা একাডেমি),19,"যোগদানপত্র, Joining Letter"
,1134,,,বিজ্ঞান ও প্রযুক্তিসহ জ্ঞানচর্চার সর্বক্ষেত্রে বাংলা ভাষা ব্যবহারের লক্ষ্যে গ্রন্থ প্রণয়ন ও প্রকাশন,41,"গ্রন্থ, পত্রিকা, সরকারি, বেসরকারি, দলিল, পত্রাদি, মুদ্রণ, জনসংযোগ, তথ্যপ্রযুক্তি, প্রশিক্ষণ"
,1136,,,"বাংলা সাহিত্য ও সংস্কৃতির উন্নয়ন ও লালনে গ্রন্থ প্রণয়ন, সম্পাদনা ও প্রকাশন",41,"মেধা, জ্ঞানচর্চায়, পাঠ্যসহায়ক, সংশ্লিষ্ট, গ্রন্থ, প্রণয়ন, সম্পাদনা, প্রকাশন, সংস্কৃতি, পত্রিকা, মিলনায়তন"
,1138,,,"লোকজ সংস্কৃতির সংগ্রহ, সংরক্ষণ ও গবেষণান্তে গ্রন্থ প্রণয়ন, সম্পাদনা ও প্রকাশন",41,"লোকজ, সংস্কৃতি, সংগ্রহ, সংরক্ষণ, গবেষণান্তে, গ্রন্থ, প্রণয়ন, সম্পাদনা, প্রকাশন"
,1139,,,"শিক্ষার উচ্চতর পর্যায়ে বাংলায় পাঠ্য, পাঠ্যসহায়ক ও সংশ্লিষ্ট গ্রন্থ প্রণয়ন, অনুবাদ ও প্রকাশন",41,"শিক্ষা, উচ্চতর, পর্যায়, বাংলা, পাঠ্য, পাঠ্যসহায়ক, সংশ্লিষ্ট, গ্রন্থ, প্রণয়ন, অনুবাদ, প্রকাশন"
,114,,,পার্বত্য জেলাসমূহে স্থায়ী বাসিন্দার সনদ প্রাপ্তি,3,"পার্বত্য, স্থায়ী বাসিন্দা, সনদ, প্রাপ্তি, Obtaining, permanent, resident, certificate, hill, districts"
,1141,,,গবেষণা ও পাঠমুখীকরণে গবেষক ও পাঠক সেবা,36,"গবেষণা, পাঠমুখী, গবেষক, পাঠক, সেবা"
,1144,,,"সৃষ্টিশীল, মননশীল ও বিষয়ভিত্তিক গবেষণামূলক কর্মের বিকাশে পত্রিকা প্রকাশন",44,"সৃষ্টিশীল, মননশীল, বিষয়ভিত্তিক, গবেষণামূলক, কর্ম, বিকাশ, পত্রিকা, প্রকাশন"
,1147,,,বাংলা ভাষা ও সাহিত্যে মৌলিক গবেষণার জন্য বৃত্তি প্রদান,4,"বাংলা, ভাষা, সাহিত্য, মৌলিক, গবেষণা, বৃত্তি, প্রদান"
,115,,,উত্তরাধিকার সনদ প্রদান,3,"উত্তরাধিকার সনদ, ওয়ারিশ সনদ"
,1150,,,"গ্রন্থপঞ্জি ও রেফারেন্স গ্রন্থপঞ্জি প্রণয়ন, সম্পাদনা ও প্রকাশন",40,"গ্রন্থপঞ্জি, রেফারেন্স, গ্রন্থপঞ্জি, প্রণয়ন, সম্পাদনা, প্রকাশন"
,1152,,,গ্রন্থ ও পত্রিকাসহ সরকারি-বেসরকারি দলিলপত্রাদি মুদ্রণ ও পুনর্মুদ্রণ,41,"গ্রন্থ, পত্রিকা, সরকারি, বেসরকারি. দলিল. পত্রাদি. মুদ্রণ. পুনর্মুদ্রণ"
,1153,,,বিনা ভিসায় আগতদের আগমনী ভিসা (Visa on Arrival) প্রাপ্তির আবেদন,36,"আগমনী, ভিসা, Visa, Arrival, বিনা ভিসায়, আগতদের, আগমনী ভিসা, Visa on Arrival প্রদান, বিনা ভিসায় আগতদের আগমনী ভিসা (Visa on Arrival) প্রদান"
,1154,,,বাংলা একাডেমির অভিধান ও বই পুনর্মুদ্রণ সেবা,40,"বাংলা, একাডেমি, অভিধান, বই, পুনর্মুদ্রণ, সেবা"
,1155,,,"বাংলা ভাষা, শিক্ষা ও দক্ষতার উন্নয়নে কম্পিউটার প্রশিক্ষণ",41,"বাংলা, ভাষা, শিক্ষা, দক্ষতা, উন্নয়ন, কম্পিউটার, প্রশিক্ষণ"
,1158,,,সর্বস্তরে বাংলা ভাষার প্রচলন ও সম্প্রসারণে অমর একুশে বইমেলা আয়োজন,41,"সর্বস্তর, বাংলা, ভাষার, প্রচলন, সম্প্রসারণ, অমর, একুশে, বইমেলা, আয়োজন"
,116,,,জমির খতিয়ানের (পর্চা) সইমোহর নকল সরবরাহ,1,"খতিয়ান, পর্চা, সইমোহর নকল, Porcha"
,1161,,,Android Test Service- 2,36,"Test, Service, Android"
,1162,,,হংকং-এ ফিমেল ডোমেস্টিক হেল্পার নিয়োগের আবেদন (ভুল),32,"হংকং, ফিমেল , ডোমেস্টিক , হেল্পার  , নিয়োগ"
,1165,,,কারিগরি শিক্ষা অধিদপ্তর ও এর আওতাধীন সরকারি কারিগরি শিক্ষা প্রতিষ্ঠানসমূহের অধ্যক্ষ/অধ্যাপক/উপাধ্যক্ষ/সহযোগী অধ্যাপক/চীফ ইনস্ট্রাক্টর/সহকারী অধ্যাপক/সম পদমর্যাদার কর্মকর্তাগণের বদলির আবেদন,16,"Application , transfer , Principal , Professor , Vice-Principal , Associate Professor , Chief Instructor , Assistant Professor , Officer , equal rank , Department , Technical , Education , Government , Technical , Educational , Institution , কারিগরি, শিক্ষা, অধিদপ্তর, আওতাধীন, সরকারি, কারিগরি, শিক্ষা প্রতিষ্ঠানসমূহ, অধ্যক্ষ, অধ্যাপক,  উপাধ্যক্ষ, সহযোগী অধ্যাপক, চীফ ইনস্ট্রাক্টর, সম পদমর্যাদা, কর্মকর্তাগণ, বদলি, আবেদন, কারিগরি শিক্ষা অধিদপ্তর, শিক্ষা অধিদপ্তর, সরকারি কারিগরি শিক্ষা প্রতিষ্ঠান, কারিগরি শিক্ষা অধিদপ্তর ও এর আওতাধীন সরকারি কারিগরি শিক্ষা প্রতিষ্ঠানসমূহের অধ্যক্ষ/অধ্যাপক/উপাধ্যক্ষ/সহযোগী অধ্যাপক/চীফ ইনস্ট্রাক্টর/সহকারী অধ্যাপক/সম পদমর্যাদার কর্মকর্তাগণের বদলি/পদান, বদলি,  অধ্যাপক"
,1167,,,ডিজিটাল কমার্স প্রতিষ্ঠানের নিবন্ধনের জন্য আবেদন,45,"ডিজিটাল, কমার্স, প্রতিষ্ঠান, রেজিস্টেশন, প্রতিষ্ঠানের নিবন্ধন, Application, digital, commerce, registration, ডিজিটাল কমার্স রেজিস্টেশন এর আবেদন , Application for digital commerce registration, ubid, আবেদন, ডিজিটাল কমার্স প্রতিষ্ঠানের নিবন্ধনের জন্য আবেদন"
,1170,,,"রপ্তানি সংক্রান্ত পুস্তিকা, পরিসংখ্যান বই, বিভিন্ন ধরণের পোষ্টার লিফলেট, প্যাম্পলেট মুদ্রন এবং বিতরণ",3,"রপ্তানি, সংক্রান্ত, পুস্তিকা, পরিসংখ্যান, বই, বিভিন্ন, পোষ্টার, লিফলেট, প্যাম্পলেট, মুদ্রন, বিতরণ , রপ্তানি সংক্রান্ত পুস্তিকা, পরিসংখ্যান বই, বিভিন্ন ধরণের পোষ্টার লিফলেট, প্যাম্পলেট মুদ্রন এবং বিতরণ , Printing and distribution of export booklets, statistics books, various types of poster leaflets, pamphlets,রপ্তানি সংক্রান্ত পুস্তিকা, পরিসংখ্যান বই, বিভিন্ন ধরণের পোষ্টার লিফলেট, প্যাম্পলেট মুদ্রন এবং বিতরণ"
,1172,,,ঢাকা মেট্রোপলিটন এলাকার মধ্যে স্থানীয় বাণিজ্য মেলার অনুমতি প্রদান,1,"ঢাকা, মেট্রোপলিটন, এলাকা, স্থানীয়, আন্তর্জাতিক, বাণিজ্য, মেলা, অনুমতি, প্রদান , ঢাকা মেট্রোপলিটন এলাকার মধ্যে স্থানীয় বাণিজ্য মেলার অনুমতি প্রদান , Allowing local trade fairs within the Dhaka metropolitan area"
,1173,,,পরিক্ষামূলক সেবা ১,32,"test, rana"
,1175,,,দেশের অভ্যন্তরে আন্তর্জাতিক বাণিজ্য মেলার অনুমতি প্রদান,1,"আন্তর্জাতিক, বাণিজ্য, মেলা, অনুমতি, প্রদান , দেশের অভ্যন্তরে আন্তর্জাতিক বাণিজ্য মেলার অনুমতি প্রদান , Allowing international trade fairs within the country"
,1178,,,আমদানিকৃত গাড়ি / মেশিনারিজ ছাড়করনের জন্য ক্লিয়ারেন্স পারমিট (সিপি) প্রদান,1,"গাড়ী, আমদানিকৃত, আমদানিকৃত গাড়ি, মেশিনারিজ, সিপি, ক্লিয়ারেন্স পারমিট, ছাড়করনের, imported cars, machinery, Issuance of Clearance Permit, (CP) , আমদানিকৃত গাড়ি / মেশিনারিজ ছাড়করনের জন্য ক্লিয়ারেন্স পারমিট (সিপি) প্রদান ,  Imported cars / machinery! Issuance of Clearance Permit (CP) for exemption"
,118,,,পার্বত্য অঞ্চলে আসবাবপত্র (ফার্নিচার) পরিবহনের অনুমতি প্রদান,12,"পার্বত্য অঞ্চলে আসবাবপত্র (ফার্নিচার) পরিবহনের অনুমতি প্রদান,আসবাবপত্র, ফার্নিচার, পরিবহণের, Furniture Transport"
,1181,,,গাড়ি / মেশিনারীজ আমদানির আইপি (ইম্পোট পারমিট) প্রদান,36,"গাড়ি, মেশিনারীজ, আমদানি, আইপি, ইম্পোট, পারমিট, প্রদান,  Car, Machinery, Import, IP, Permit, ইম্পোট পারমিট, গাড়ি / মেশিনারীজ আমদানির আইপি (ইম্পোট পারমিট) প্রদান"
,1182,,,এসিড আমদানির ছাড়পত্র / এসিড আমদানির লাইসেন্সের ছাড়পত্র প্রদান,1,"এসিড, আমাদনি, ছাড়পত্র, লাইসেন্স, ছাড়পত্র, প্রদান, acid, import, clearance, import, license , এসিড আমাদনির ছাড়পত্র / এসিড আমদানির লাইসেন্সের ছাড়পত্র প্রদান , Issuance of acid import clearance / clearance of acid import license"
,1184,,,ফরমালিন জাতীয় দ্রবাদি আমদানির অনুমতি প্রদান,47,"ফরমালিন, দ্রবাদি, আমাদানি, অনুমতি, Permission, import, formalin, products , Permission to import formalin products , ফরমালিন জাতীয় দ্রবাদি আমাদানির অনুমতি প্রদান"
